Основная категория,Подкатегория,Пример вопроса,Целевая аудитория,Шаблонный ответ,is_original
Продукты - Карты,Дебетовые карты - MORE,Какие лимиты по карте MORE?,новые клиенты,Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.,True
Продукты - Карты,Дебетовые карты - MORE,Можно ли заказать карту MORE онлайн?,новые клиенты,"Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.",True
Продукты - Карты,Дебетовые карты - MORE,Сколько стоит обслуживание карты MORE?,новые клиенты,Выпуск и обслуживание карты MORE бесплатны для физических лиц при соблюдении условий банка.,True
Продукты - Карты,Дебетовые карты - MORE,Где можно использовать карту MORE?,новые клиенты,"Карта MORE принимается во всех торговых точках, где есть терминалы для оплаты картами, в банкоматах для снятия наличных, для онлайн-покупок в интернете.",True
Продукты - Карты,Дебетовые карты - MORE,Как активировать карту MORE?,новые клиенты,Активация происходит автоматически при проведении первой успешной операции с использованием ПИН-кода: оплата в магазине или снятие наличных в банкомате.,True
Продукты - Карты,Дебетовые карты - Форсаж,Как получить карту Форсаж?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",True
Продукты - Карты,Дебетовые карты - Форсаж,Что такое карта мгновенного выпуска?,новые клиенты,"Карта мгновенного выпуска - это карта, которая изготавливается и выдается клиенту непосредственно в отделении банка в течение нескольких минут после подачи заявления.",True
Продукты - Карты,Дебетовые карты - Форсаж,За сколько минут выдается карта Форсаж?,новые клиенты,Карта Форсаж выдается в течение нескольких минут после оформления заявления в отделении банка.,True
Продукты - Карты,Дебетовые карты - Форсаж,Какие документы нужны для карты Форсаж?,новые клиенты,Для оформления карты Форсаж необходим только паспорт гражданина Республики Беларусь.,True
Продукты - Карты,Дебетовые карты - Форсаж,Можно ли сразу использовать карту Форсаж?,новые клиенты,"Да, карту Форсаж можно использовать сразу после получения и активации первой операцией с ПИН-кодом.",True
Продукты - Карты,Дебетовые карты - Форсаж,Какие лимиты у карты Форсаж?,новые клиенты,Лимиты по карте «Форсаж» устанавливаются банком; подробные значения суточных и месячных лимитов указаны в условиях выпуска карты и в тарифах банка.,True
Продукты - Карты,Дебетовые карты - Форсаж,Сколько действует карта Форсаж?,новые клиенты,Срок действия карты Форсаж указывается на самой карте. Обычно карты выдаются на 4 года.,True
Продукты - Карты,Дебетовые карты - Комплимент,Кто может оформить карту Комплимент?,новые клиенты,Карту Комплимент могут оформить граждане Республики Беларусь от 50 лет. Это специальное предложение для людей старшего возраста.,True
Продукты - Карты,Дебетовые карты - Комплимент,Какие льготы предоставляет карта Комплимент?,новые клиенты,"Карта Комплимент предоставляет льготные условия обслуживания, специальные тарифы и привилегии для клиентов старшего возраста.",True
Продукты - Карты,Дебетовые карты - Комплимент,Как оформить премиальную карту Комплимент?,новые клиенты,Для оформления карты Комплимент обратитесь в отделение банка с паспортом. Карта относится к премиальному сегменту Gold.,True
Продукты - Карты,Дебетовые карты - Комплимент,Какой возраст для оформления карты Комплимент?,новые клиенты,Карта Комплимент предназначена для клиентов от 50 лет.,True
Продукты - Карты,Дебетовые карты - Комплимент,Сколько стоит карта Комплимент?,новые клиенты,Информацию о стоимости обслуживания карты Комплимент уточняйте в тарифах банка или при оформлении в отделении.,True
Продукты - Карты,Дебетовые карты - Комплимент,Какие услуги включены в карту Комплимент?,новые клиенты,Карта Комплимент включает полный комплекс банковских услуг с учетом потребностей клиентов старшего возраста и премиальное обслуживание.,True
Продукты - Карты,Дебетовые карты - Signature,Как получить премиальную карту Signature?,новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,True
Продукты - Карты,Дебетовые карты - Signature,Какие привилегии у карты Signature?,новые клиенты,"Карта Signature предоставляет премиальные привилегии: приоритетное обслуживание, специальные условия, расширенные лимиты, дополнительные сервисы.",True
Продукты - Карты,Дебетовые карты - Signature,Сколько стоит обслуживание карты Signature?,новые клиенты,Тарифы по карте Signature указаны в прейскуранте банка. Уточняйте стоимость при оформлении.,True
Продукты - Карты,Дебетовые карты - Signature,Какие требования для оформления Signature?,новые клиенты,Для оформления карты Signature могут потребоваться подтверждение доходов и соответствие критериям премиального обслуживания.,True
Продукты - Карты,Дебетовые карты - Signature,Где принимается карта Signature?,новые клиенты,"Карта Signature принимается во всем мире везде, где принимаются карты соответствующей платежной системы.",True
Продукты - Карты,Дебетовые карты - Infinite,Как оформить карту Infinite?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,True
Продукты - Карты,Дебетовые карты - Infinite,Что входит в пакет услуг Infinite?,новые клиенты,"Карта Infinite включает максимальный набор привилегий: консьерж-сервис, страхование, доступ в VIP-залы, индивидуальные условия.",True
Продукты - Карты,Дебетовые карты - Infinite,Какие требования к доходам для Infinite?,новые клиенты,Для оформления карты Infinite установлены высокие требования к доходам клиента. Подробности уточняйте при консультации.,True
Продукты - Карты,Дебетовые карты - Infinite,Какие привилегии предоставляет Infinite?,новые клиенты,"Infinite предоставляет все доступные привилегии банка: персональный менеджер, консьерж-сервис, специальные предложения партнеров.",True
Продукты - Карты,Кредитные карты - PLAT/ON,Где можно оформить карточку PLAT/ON?,новые клиенты,"Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.",True
Продукты - Карты,Кредитные карты - PLAT/ON,Какие операции отражаются в бонусный период?,новые клиенты,"В бонусный период отражаются безналичные операции покупки товаров и услуг в организации торговли/сервиса, совершенные по карточке PLAT/ON, за исключением операций с MCC, указанных на сайте банка vtb.by.",True
Продукты - Карты,Кредитные карты - PLAT/ON,Как отражаются операции по бонусным периодам?,новые клиенты,"Операции по бонусным периодам отражаются по дате отражения по счету. Если бонусный период был изменен после совершения операции, но до ее отражения по счету, операция отразится по вновь установленному бонусному периоду.",True
Продукты - Карты,Кредитные карты - PLAT/ON,Как переключить бонусный период PLAT/ON?,новые клиенты,Переключить бонусный период можно через Интернет-банк или мобильное приложение VTB mBank в разделе управления картой PLAT/ON.,True
Продукты - Карты,Кредитные карты - PLAT/ON,Какой кредитный лимит по карте PLAT/ON?,новые клиенты,Максимальная сумма кредита по карте PLAT/ON составляет до 10 000 BYN для физической карты и до 5 000 BYN для виртуальной карты.,True
Продукты - Карты,Кредитные карты - PLAT/ON,Можно ли оформить виртуальную PLAT/ON?,новые клиенты,"Да, доступна виртуальная карточка PLAT/ON Classic с кредитным лимитом до 5 000 BYN, которую можно оформить через Интернет-банк.",True
Продукты - Карты,Кредитные карты - PLAT/ON,Когда платеж по карте PLAT/ON?,новые клиенты,Обязательный платеж по карте PLAT/ON необходимо вносить до 20 числа каждого месяца.,True
Продукты - Карты,Кредитные карты - Портмоне 2.0,Как оформить кредитную карту Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,True
Продукты - Карты,Кредитные карты - Портмоне 2.0,Нужны ли справки для карты Портмоне?,новые клиенты,Кредитная карта Портмоне 2.0 оформляется без справок о доходах и поручителей. Необходим только паспорт.,True
Продукты - Карты,Кредитные карты - Портмоне 2.0,Какой лимит по карте Портмоне 2.0?,новые клиенты,Кредитный лимит по карте Портмоне 2.0 устанавливается индивидуально в зависимости от платежеспособности клиента.,True
Продукты - Карты,Кредитные карты - Портмоне 2.0,За сколько выдается карта Портмоне?,новые клиенты,"Карта Портмоне 2.0 выдается сразу при обращении в отделение банка, так как это карточка мгновенного выпуска.",True
Продукты - Карты,Кредитные карты - Портмоне 2.0,Какая ставка по карте Портмоне 2.0?,новые клиенты,Процентная ставка по карте Портмоне 2.0 указана в тарифах банка. Уточняйте актуальную ставку при оформлении.,True
Продукты - Карты,Кредитные карты - Портмоне 2.0,Можно ли снимать наличные с Портмоне?,новые клиенты,"Да, с кредитной карты Портмоне 2.0 можно снимать наличные в банкоматах, но за эту операцию взимается комиссия согласно тарифам.",True
Продукты - Карты,Кредитные карты - Отличник,Кто может оформить карту Отличник?,новые клиенты,Карта Отличник - специальное предложение для действующих кредитополучателей банка ВТБ (Беларусь).,True
Продукты - Карты,Кредитные карты - Отличник,Нужна ли справка о доходах для Отличника?,новые клиенты,"Нет, заявка на карту Отличник рассматривается без справки о доходах для действующих клиентов банка.",True
Продукты - Карты,Кредитные карты - Отличник,Какой процент на остаток по карте Отличник?,новые клиенты,"На остаток собственных денежных средств на счете по карте Отличник начисляется 0,01% годовых.",True
Продукты - Карты,Кредитные карты - Отличник,Как погашать задолженность по Отличнику?,новые клиенты,"Погашение можно осуществлять через Интернет-банк, мобильное приложение, банкоматы ВТБ, отделения банка, через ЕРИП.",True
Продукты - Карты,Кредитные карты - Отличник,Какой кредитный лимит по Отличнику?,новые клиенты,Максимальный кредитный лимит по карте Отличник составляет 5 000 BYN на срок до 36 месяцев.,True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Где можно оформить карту ЧЕРЕПАХА?,новые клиенты,"Карту ЧЕРЕПАХА можно оформить бесплатно в любом офисе банка, онлайн в интернет-банке или мобильном приложении VTB mBank.",True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Какой кредитный лимит я могу получить по карте ЧЕРЕПАХА?,новые клиенты,"По карте ЧЕРЕПАХА доступен кредитный лимит до 5 000 BYN с возобновляемой линией, которая действует до 3 лет.",True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Какие операции доступны по карточке ЧЕРЕПАХА?,новые клиенты,"По карте ЧЕРЕПАХА доступны: покупки в рассрочку в магазинах-партнерах, снятие наличных, переводы и покупки в точках по всему миру.",True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Как узнать текущий долг по ЧЕРЕПАХЕ?,новые клиенты,Информацию о текущей задолженности можно узнать в личном кабинете интернет-банка или в мобильном приложении VTB mBank в разделе информации по кредиту.,True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,В каких магазинах принимается ЧЕРЕПАХА?,новые клиенты,Карта ЧЕРЕПАХА принимается в широкой сети магазинов-партнеров. Полный список доступен на сайте cherepaha.vtb.by в разделе 'Магазины'.,True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Какая рассрочка доступна по ЧЕРЕПАХЕ?,новые клиенты,По карте ЧЕРЕПАХА доступна рассрочка до 12 месяцев в зависимости от магазина-партнера и типа товара.,True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Как погашать долг по ЧЕРЕПАХЕ?,новые клиенты,"Погашение можно осуществлять через интернет-банк/мобильное приложение, банкоматы, отделения банка, ЕРИП и переводами с других карт.",True
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Можно ли пополнить карту ЧЕРЕПАХА?,новые клиенты,"Да, карту ЧЕРЕПАХА можно пополнять через банкоматы с функцией Cash-In, в отделениях банка, через интернет-банк.",True
Продукты - Карты,Карты рассрочки - КСТАТИ,Как оформить карту КСТАТИ?,новые клиенты,Карту рассрочки КСТАТИ можно оформить в отделениях банка или онлайн через интернет-банк и мобильное приложение VTB mBank.,True
Продукты - Карты,Карты рассрочки - КСТАТИ,В чем преимущества карты КСТАТИ?,новые клиенты,"Карта КСТАТИ предоставляет возможность покупок в рассрочку, удобное управление платежами, широкую сеть партнеров.",True
Продукты - Карты,Карты рассрочки - КСТАТИ,Какие лимиты по карте КСТАТИ?,новые клиенты,Лимиты по карте КСТАТИ устанавливаются индивидуально в зависимости от платежеспособности клиента.,True
Продукты - Карты,Карты рассрочки - КСТАТИ,Где принимается карта КСТАТИ?,новые клиенты,"Карта КСТАТИ принимается в магазинах-партнерах банка, где доступна рассрочка, а также для обычных покупок.",True
Продукты - Карты,Карты рассрочки - КСТАТИ,Какая рассрочка по карте КСТАТИ?,новые клиенты,Рассрочка по карте КСТАТИ предоставляется на различные сроки в зависимости от магазина и товара.,True
Продукты - Карты,Карты рассрочки - КСТАТИ,Как узнать баланс карты КСТАТИ?,новые клиенты,"Баланс и информацию по карте КСТАТИ можно узнать через интернет-банк, мобильное приложение или по телефону контакт-центра.",True
Продукты - Карты,Карты рассрочки - КСТАТИ,Можно ли заказать КСТАТИ онлайн?,новые клиенты,"Да, карту КСТАТИ можно заказать онлайн через интернет-банк или мобильное приложение VTB mBank.",True
Продукты - Кредиты,Потребительские - На всё про всё,Как оформить кредит На всё про всё?,новые клиенты,Для оформления кредита 'На всё про всё' обратитесь в любое отделение банка с паспортом. Кредит выдается на любые цели до 70 000 BYN на срок до 7 лет.,True
Продукты - Кредиты,Потребительские - На всё про всё,Какая максимальная сумма кредита?,новые клиенты,Максимальная сумма потребительского кредита 'На всё про всё' составляет 70 000 белорусских рублей.,True
Продукты - Кредиты,Потребительские - На всё про всё,Нужны ли справки для кредита?,новые клиенты,Требования по документам зависят от суммы кредита. Для небольших сумм возможно оформление без справки о доходах.,True
Продукты - Кредиты,Потребительские - На всё про всё,На какой срок выдается кредит?,новые клиенты,Кредит 'На всё про всё' выдается на срок до 7 лет (84 месяца) в зависимости от суммы и платежеспособности.,True
Продукты - Кредиты,Потребительские - На всё про всё,Какие документы нужны для кредита?,новые клиенты,"Для оформления кредита необходим паспорт, при необходимости - справка о доходах и документы, подтверждающие цель кредита.",True
Продукты - Кредиты,Потребительские - На всё про всё,Можно ли досрочно погасить кредит?,новые клиенты,"Да, досрочное погашение кредита возможно полностью или частично без штрафов и комиссий.",True
Продукты - Кредиты,Потребительские - Дальше - меньше,Что означает снижаемая ставка?,новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",True
Продукты - Кредиты,Потребительские - Дальше - меньше,Как работает кредит Дальше - меньше?,новые клиенты,"Первый год вы платите по стандартной ставке, затем каждый год ставка автоматически снижается на установленный процент.",True
Продукты - Кредиты,Потребительские - Дальше - меньше,На сколько снижается ставка каждый год?,новые клиенты,"Размер ежегодного снижения ставки уточняйте при оформлении кредита, так как он зависит от условий программы.",True
Продукты - Кредиты,Потребительские - Дальше - меньше,Какая первоначальная ставка?,новые клиенты,Первоначальная процентная ставка по кредиту 'Дальше - меньше' устанавливается в соответствии с действующими тарифами банка.,True
Продукты - Кредиты,Потребительские - Дальше - меньше,Можно ли оформить онлайн?,новые клиенты,"Заявку на кредит можно подать онлайн через сайт банка, но для окончательного оформления потребуется визит в отделение.",True
Продукты - Кредиты,Потребительские - Легко платить,Что такое льготные месяцы?,новые клиенты,"Льготные месяцы - это период в начале кредита, когда вы платите по сниженной ставке и можете не погашать основной долг.",True
Продукты - Кредиты,Потребительские - Легко платить,Как работает кредит Легко платить?,новые клиенты,"Первые 4 месяца вы платите по сниженной ставке без погашения основного долга, что делает первоначальные платежи минимальными.",True
Продукты - Кредиты,Потребительские - Легко платить,Сколько месяцев льготный период?,новые клиенты,Льготный период по кредиту 'Легко платить' составляет 4 месяца.,True
Продукты - Кредиты,Потребительские - Легко платить,Какая ставка после льготного периода?,новые клиенты,После окончания льготного периода действует стандартная процентная ставка согласно тарифам банка.,True
Продукты - Кредиты,Потребительские - Всё только начинается,Кто может оформить этот кредит?,новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,True
Продукты - Кредиты,Потребительские - Всё только начинается,Какой возраст для кредита 50+?,новые клиенты,"Кредит предназначен для граждан, которым исполнилось 50 лет и старше.",True
Продукты - Кредиты,Потребительские - Всё только начинается,Какие льготы для пенсионеров?,новые клиенты,Для пенсионеров предусмотрены льготные процентные ставки и упрощенные требования по документам.,True
Продукты - Кредиты,Потребительские - Всё только начинается,Какая максимальная сумма?,новые клиенты,Максимальная сумма кредита для клиентов 50+ определяется индивидуально с учетом платежеспособности.,True
Продукты - Кредиты,Потребительские - Старт,На какую сумму можно взять Старт?,новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,True
Продукты - Кредиты,Потребительские - Старт,Кто может оформить Старт?,новые клиенты,Кредит 'Старт' доступен всем работающим гражданам Республики Беларусь при соответствии требованиям банка.,True
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,Как оформить онлайн кредит?,новые клиенты,"Онлайн кредит можно оформить через сайт vtb.by или мобильное приложение VTB mBank, заполнив заявку и загрузив необходимые документы.",True
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,Нужно ли приходить в банк?,новые клиенты,При оформлении онлайн кредита 'Проще в онлайн' посещение банка не требуется - все процедуры проводятся дистанционно.,True
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,За сколько одобряется онлайн кредит?,новые клиенты,"Решение по онлайн кредиту принимается в максимально короткие сроки, часто в течение нескольких часов.",True
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,Какие документы загружать онлайн?,новые клиенты,"Для онлайн кредита необходимо загрузить скан паспорта и, при необходимости, справку о доходах.",True
Продукты - Кредиты,Автокредиты - Автокредит без залога,На какие авто выдается кредит?,новые клиенты,Автокредит без залога выдается на покупку новых и подержанных автомобилей в автосалонах-партнерах банка.,True
Продукты - Кредиты,Автокредиты - Автокредит без залога,Какая максимальная сумма автокредита?,новые клиенты,Максимальная сумма автокредита без залога составляет до 70 000 BYN на срок до 10 лет.,True
Продукты - Кредиты,Автокредиты - Автокредит без залога,Нужно ли КАСКО для автокредита?,новые клиенты,"Требования по страхованию КАСКО уточняйте при оформлении автокредита, так как они могут различаться в зависимости от суммы и срока.",True
Продукты - Кредиты,Автокредиты - Автокредит без залога,Можно ли купить подержанное авто?,новые клиенты,"Да, автокредит без залога доступен как для новых, так и для подержанных автомобилей определенного возраста.",True
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,В каких магазинах можно оформить?,новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",True
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,За сколько одобряется экспресс-кредит?,новые клиенты,Экспресс-кредит одобряется в течение нескольких минут прямо в магазине при наличии необходимых документов.,True
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Какие документы нужны в магазине?,новые клиенты,"Для оформления экспресс-кредита в магазине достаточно паспорта и, при необходимости, справки о доходах.",True
Продукты - Кредиты,Экспресс-кредиты - На роднае,Что такое кредит На роднае?,новые клиенты,"Экспресс-кредит 'На ро́днае' предоставляет льготные условия для покупки товаров, произведенных в Республике Беларусь.",True
Продукты - Кредиты,Экспресс-кредиты - На роднае,На какие товары распространяется?,новые клиенты,Кредит 'На ро́днае' действует на товары белорусского производства в магазинах-партнерах банка.,True
Продукты - Кредиты,Экспресс-кредиты - На роднае,Какая льготная ставка?,новые клиенты,Льготная процентная ставка по кредиту 'На ро́днае' устанавливается согласно специальным условиям программы.,True
Продукты - Вклады,Рублевые - Мои условия,Как открыть вклад Мои условия?,новые клиенты,Вклад 'Мои условия' можно открыть в любом отделении банка или онлайн через Интернет-банк. Доступны отзывная и безотзывная версии.,True
